text,label
"Congratulations! You won a free lottery of the year and can win one for only £2,500! A special 'fan giveaway' of £50 is now open with a prize of £3,500 and it is available only at your choice of",1
"Congratulations! You won a free lottery of all sizes of a toy.

This was a giveaway at the end of November 2016. The winner of the lottery was chosen randomly and will have a chance to win a prize of $2,500.",1
"Congratulations! You won a free lottery of the best prizes from the first round. Don't worry! The first 50 people to win a free giveaway will get one $60 reward! But, if everyone can participate and receive the prize, we'll announce",1
"Congratulations! You won a free lottery of any kind! I'd just like to thank you and hope you'll stay for a very long time."" She waved a hand as she was rewarded by his embrace. ""Thank you, Mr. Robot, for",1
"Congratulations! You won a free lottery of $3,000 to buy a 3rd Seat. You will not be required to take part in any of the upcoming races! You can participate online, through one of the online channels, or you can sign",1
"You have been selected for a cash prize of 1,000 Credits to win a piece of equipment in the game. Once you have selected a piece of equipment you will have access to 2 of your choice of the following prizes:

Tecs",1
"You have been selected for a cash prize of $1000 which you can redeem for the following things, I will send you an email once the cash prize is awarded and I will send you your email once the final payment has been processed.

1",1
"You have been selected for a cash prize of $500.00 or greater. If you do not complete the $500.00 or less, you will not be eligible to win the prize or receive a new prize offer. All rewards are based on",1
"You have been selected for a cash prize of 1,000 rupees.


*You have already been selected for a free match

Note: Prizes will be announced via email, we will contact you if you have questions.

",1
"You have been selected for a cash prize of £5,000.""

But it appeared that all that the money would cost - as he did not know whether to accept the money - was going towards the care and training of those involved in the",1
"Earn money fast by being ready.

What you need are:

3-4 gallons of gas

1/4 cup vegetable broth

1/2 cup organic liquid

1/4 cup water

4 slices of",1
"Earn money fast by paying taxes.

I think we should pay income taxes to help pay off our debts.

Tax rates don't apply to people without incomes, so it's not a huge surprise that income taxes are heavily concentrated at the",1
"Earn money fast by not spending, we could start doing more research.

The most common reason people spend too much is because they can't find the time or money they need. Here's what you need to do:

Make plans and",1
"Earn money fast by taking money from your bank

3. Know how you can save

Make money by buying stuff and making it more comfortable. You can choose how often to buy, what type of toys you want, what things to buy",1
"Earn money fast by investing in projects that help develop high quality, accessible, and safe products that we have sold and will continue to sell.""

One of the key aims of blockchain was to ensure that the economy could support the world's population,",1
"Get your free gift card now at http://www.gifts-network.com!

*For questions regarding our products, please feel free to contact us at sales@giftsnetwork.com (We are very excited about this idea!)",1
Get your free gift card now at http://giftmeals.com/tricks/tricks-tricks-1-141234013044. The offer is free.,1
"Get your free gift card now at:

Evan Miller is one of the original pioneers in the space. He founded the Mars Exploration Program in 1973 and built one of the biggest rockets in the history of science. In 1983, he developed the",1
"Get your free gift card now at www.dvdgiftcard.com/donate (included in gift card payment)

Donate now at www.dvdgiftcard.com/donate (included in gift",1
"Get your free gift card now at the link above. We'll let you know if we make it.

If you've already got your FREE gift card, here's how to redeem it online.

How to Get Your Free Gift Card",1
"Claim your reward by clicking below. If it works for you!


You'll need an HTML5 capable browser to see this content. Play Replay with sound Play with

sound 00:00 00:00",1
"Claim your reward by clicking on the reward button below to claim your prize. It may take up to 3 business days to be awarded. For details see the guidelines below.

Winner will be contacted and notified via email about any and all prize winners",1
"Claim your reward by clicking the ""Submit"" button below.

Once you've successfully completed your reward, you will receive a confirmation email from me. I will be happy to send you an invoice and all the details of your purchases.",1
